,I1,C2,data_updated,industry_bin,C3_prime
422,NTGR,1.0,0,Manufacturing,0
423,NURO,1.0,0,Manufacturing,0
424,NVT,1.0,0,Services,1
425,NXPI,1.0,0,Manufacturing,0
426,NXST,1.0,0,"Transportation, Communications, Electric, Gas and Sanitary service",0
427,NXTM,1.0,0,Manufacturing,0
428,NZ,1.0,0,Manufacturing,0
429,OAS,1.0,0,Mining,0
430,OCLS,0.0,0,Manufacturing,0
431,OCNF,1.0,1,"Transportation, Communications, Electric, Gas and Sanitary service",0
432,ODMO,1.0,0,Retail Trade,0
433,OESX,1.0,0,Manufacturing,0
434,OLED,0.0,0,Services,0
435,OMER,1.0,0,Manufacturing,0
436,OMPI,1.0,0,Manufacturing,1
437,OMRI,1.0,0,Manufacturing,0
438,ONE,1.0,0,Services,1
439,OPTM,1.0,0,Manufacturing,0
440,OPTR,1.0,0,Manufacturing,0
441,OPTT,1.0,0,Manufacturing,0
442,OPXT,1.0,0,Manufacturing,0
443,ORA,1.0,0,"Transportation, Communications, Electric, Gas and Sanitary service",1
444,ORBC,1.0,0,"Transportation, Communications, Electric, Gas and Sanitary service",1
445,OREX,1.0,0,Manufacturing,0
446,OSIR,0.0,0,Manufacturing,0
447,OVNT,1.0,0,"Transportation, Communications, Electric, Gas and Sanitary service",1
448,OWW,1.0,0,"Transportation, Communications, Electric, Gas and Sanitary service",0
449,P,1.0,0,Services,0
450,PA,1.0,0,"Transportation, Communications, Electric, Gas and Sanitary service",0
451,PANW,1.0,0,Manufacturing,0
452,PAR,1.0,0,Manufacturing,1
453,PAY,1.0,0,Manufacturing,1
454,PBH,1.0,1,Manufacturing,0
455,PCRX,0.0,0,Manufacturing,0
456,PCS,1.0,0,"Transportation, Communications, Electric, Gas and Sanitary service",1
457,PEC,1.0,0,Construction,1
458,PFMT,1.0,0,Services,1
459,PFWD,1.0,0,Services,0
460,PGTI,1.0,0,Manufacturing,1
461,PHRM,1.0,0,Manufacturing,0
462,PINN,1.0,0,Mining,0
463,PLOW,1.0,0,Manufacturing,1
464,PLTE,0.0,0,Manufacturing,1
465,PMII,1.0,0,Manufacturing,0
466,PODD,1.0,0,Manufacturing,0
467,PPO,1.0,0,Manufacturing,0
468,PRAI,1.0,0,Services,1
469,PRGN,1.0,0,"Transportation, Communications, Electric, Gas and Sanitary service",1
470,PRLB,1.0,0,Manufacturing,1
471,PRMW,0.0,0,Wholesale Trade,0
472,PROJ,1.0,0,Services,1
473,PRSC,0.0,0,Services,0
474,PRSS,1.0,0,Retail Trade,1
475,PRTS,1.0,1,Retail Trade,0
476,PRVD,0.0,0,Retail Trade,0
477,PSMI,1.0,0,Manufacturing,0
478,PSPT,0.0,0,Services,1
479,PTEK,0.0,1,Manufacturing,0
480,PUMP,1.0,0,Manufacturing,0
481,QLIK,1.0,0,Services,1
482,QLTY,1.0,0,"Transportation, Communications, Electric, Gas and Sanitary service",0
483,QLYS,1.0,0,Services,1
484,QNST,1.0,0,Services,1
485,QXM,1.0,0,Manufacturing,1
486,RA,1.0,0,"Transportation, Communications, Electric, Gas and Sanitary service",1
487,RACK,1.0,0,Manufacturing,0
488,RAIL,1.0,0,Manufacturing,0
489,RBCN,1.0,0,Manufacturing,0
491,RDYN,1.0,0,Manufacturing,0
492,REDE,0.0,0,Retail Trade,0
493,REGI,1.0,0,Manufacturing,1
494,REST,1.0,0,Manufacturing,0
495,REXX,0.0,0,Mining,1
497,RHEO,1.0,0,Manufacturing,0
498,RKUS,1.0,0,Manufacturing,1
499,RLD,1.0,0,Manufacturing,0
500,RLOC,1.0,0,Services,1
501,RNDY,1.0,0,Retail Trade,1
502,RNET,1.0,0,"Transportation, Communications, Electric, Gas and Sanitary service",0
504,RNOW,1.0,0,Services,0
505,ROC,1.0,0,Manufacturing,0
506,ROLL,1.0,0,Manufacturing,1
507,ROSG,1.0,1,Manufacturing,0
508,ROX,0.0,0,Manufacturing,0
509,RP,1.0,0,Services,1
510,RRR,1.0,0,Services,1
511,RRST,1.0,0,"Transportation, Communications, Electric, Gas and Sanitary service",1
512,RRTS,1.0,0,"Transportation, Communications, Electric, Gas and Sanitary service",1
513,RST,1.0,0,Services,1
514,RUE,1.0,0,Retail Trade,1
515,RVBD,1.0,0,Manufacturing,0
516,SAI,1.0,0,Services,1
517,SAVE,1.0,0,"Transportation, Communications, Electric, Gas and Sanitary service",1
518,SB,1.0,0,"Transportation, Communications, Electric, Gas and Sanitary service",1
519,SCMP,0.0,0,Manufacturing,1
520,SCOP,1.0,0,Manufacturing,0
521,SCOR,1.0,0,Services,1
522,SCTY,1.0,0,"Transportation, Communications, Electric, Gas and Sanitary service",1
523,SDXC,1.0,0,"Transportation, Communications, Electric, Gas and Sanitary service",0
524,SEM,1.0,0,Services,1
525,SENO,1.0,0,Manufacturing,0
526,SFLY,1.0,0,Services,1
527,SFSF,1.0,0,Services,0
528,SGOC,0.0,0,Manufacturing,1
529,SGTL,1.0,0,Manufacturing,0
530,SGXP,1.0,0,Manufacturing,0
531,SHMR,1.0,0,Manufacturing,1
532,SHO,1.0,0,Services,0
533,SHOR,1.0,0,Manufacturing,1
534,SIRF,1.0,0,Manufacturing,1
535,SIRT,1.0,1,Manufacturing,0
536,SLCA,1.0,0,Mining,1
537,SLRY,1.0,0,Services,0
538,SMA,1.0,0,Manufacturing,1
539,SMBI,1.0,0,Services,1
540,SMCI,1.0,0,Manufacturing,1
541,SN,0.0,0,Mining,1
542,SNCR,1.0,0,Services,1
543,SNMX,1.0,0,Services,0
